Time, acc_x, acc_y, acc_y, altitude, MPU_x,  MPU_y, MPU_z, 
1842, 0.40,  0.19,  0.98,  294.21,  0.41,  0.09,  0.92,  
2841, 0.47,  0.20,  0.92,  294.20,  0.46,  0.08,  0.89,  
3842, 0.45,  0.17,  0.88,  294.53,  0.45,  0.04,  0.86,  
4841, 0.43,  0.14,  1.01,  294.79,  0.46,  0.02,  1.01,  
5841, 0.47,  -0.09,  0.82,  294.54,  0.50,  -0.27,  0.81,  
6841, 0.47,  -0.08,  0.80,  294.53,  0.49,  -0.26,  0.79,  
7841, 0.50,  -0.05,  0.80,  294.51,  0.52,  -0.24,  0.80,  
8842, 0.27,  -0.03,  0.88,  294.61,  0.29,  -0.18,  0.90,  
9841, 0.13,  -0.13,  0.82,  294.74,  0.15,  -0.31,  0.84,  
10842, 0.19,  -0.07,  0.91,  294.77,  0.21,  -0.23,  0.93,  
11841, 0.22,  0.19,  0.78,  294.61,  0.25,  0.04,  0.75,  
12841, 0.04,  0.14,  0.91,  294.59,  0.05,  -0.01,  0.89,  
13841, 0.18,  0.22,  0.98,  294.52,  0.17,  0.11,  0.99,  
14841, 0.21,  0.29,  0.95,  294.42,  0.21,  0.21,  0.89,  
15842, 0.14,  0.19,  1.06,  294.52,  0.15,  0.07,  1.08,  
16841, 0.27,  0.11,  1.09,  294.55,  0.26,  0.03,  1.19,  
17842, -0.50,  0.55,  0.13,  294.80,  -0.48,  0.46,  0.06,  
18841, 0.47,  -0.26,  0.82,  294.54,  0.45,  -0.44,  0.75,  
19842, 0.14,  -0.17,  0.92,  294.85,  0.18,  -0.37,  0.92,  
20842, 0.05,  -0.05,  0.96,  294.56,  0.06,  -0.20,  0.97,  
21841, 0.05,  -0.07,  1.10,  294.41,  0.07,  -0.23,  1.07,  
22842, 0.07,  0.09,  0.92,  294.78,  0.09,  -0.07,  0.93,  
23842, 0.31,  0.09,  0.91,  294.55,  0.34,  -0.06,  0.91,  
24842, 0.27,  0.08,  0.96,  294.77,  0.29,  -0.07,  0.97,  
25842, 0.28,  0.06,  0.96,  294.72,  0.29,  -0.07,  0.95,  
26832, 0.27,  0.05,  0.91,  294.24,  0.29,  -0.10,  0.91,  
27805, 0.28,  0.06,  0.94,  294.40,  0.31,  -0.09,  0.94,  
28756, 0.24,  0.05,  0.85,  294.66,  0.26,  -0.11,  0.85,  
29732, 0.39,  0.10,  0.94,  294.59,  0.41,  -0.04,  0.93,  
30708, 0.31,  0.11,  0.91,  294.86,  0.33,  -0.03,  0.90,  
31698, 0.25,  0.01,  0.95,  294.64,  0.28,  -0.14,  0.95,  
32671, 0.21,  0.08,  0.94,  294.77,  0.23,  -0.07,  0.94,  
33655, 0.30,  -0.00,  0.96,  294.74,  0.32,  -0.15,  0.98,  
34634, 0.27,  0.01,  0.94,  294.76,  0.29,  -0.14,  0.94,  
35617, 0.27,  0.01,  0.92,  294.78,  0.30,  -0.14,  0.93,  
36592, 0.27,  0.02,  0.92,  294.80,  0.29,  -0.13,  0.92,  
37540, 0.31,  -0.00,  0.96,  294.95,  0.33,  -0.15,  0.98,  
38515, 0.36,  0.08,  0.89,  294.98,  0.35,  -0.01,  0.84,  
40510, 0.34,  -0.00,  0.91,  294.82,  0.37,  -0.15,  0.92,  
41469, 0.21,  0.09,  0.96,  295.02,  0.21,  -0.05,  0.98,  
44456, 0.16,  0.08,  0.96,  294.99,  0.18,  -0.07,  0.96,  
45401, 0.14,  0.08,  0.96,  295.03,  0.17,  -0.07,  0.96,  
46384, 0.16,  0.06,  0.96,  294.94,  0.19,  -0.07,  0.97,  
49375, -0.15,  0.08,  0.98,  294.87,  -0.14,  -0.08,  0.94,  
52342, -0.01,  0.05,  0.91,  294.91,  0.03,  -0.10,  0.95,  
53342, 0.05,  0.17,  0.98,  294.82,  0.07,  0.02,  0.96,  
55343, 0.10,  0.08,  0.98,  294.96,  0.11,  -0.06,  0.97,  
56342, 0.05,  0.06,  0.96,  294.94,  0.08,  -0.08,  0.96,  
58342, 0.08,  0.08,  0.95,  294.89,  0.11,  -0.07,  0.95,  
59342, 0.10,  0.06,  0.96,  294.80,  0.11,  -0.07,  0.98,  
60343, 0.10,  0.06,  0.95,  294.50,  0.12,  -0.07,  0.95,  
61342, 0.11,  0.08,  0.96,  294.93,  0.14,  -0.06,  0.96,  
62343, 0.11,  0.08,  0.98,  295.13,  0.13,  -0.06,  0.98,  
63342, 0.10,  0.09,  0.96,  295.10,  0.12,  -0.06,  0.97,  
64343, 0.10,  0.08,  0.95,  295.07,  0.11,  -0.07,  0.96,  
66342, 0.10,  0.08,  0.96,  295.07,  0.12,  -0.06,  0.96,  
67343, 0.10,  0.09,  0.99,  294.87,  0.13,  -0.05,  0.98,  
68342, 0.10,  0.09,  0.98,  294.84,  0.10,  -0.04,  0.98,  
69342, 0.08,  0.09,  0.96,  294.99,  0.10,  -0.05,  0.96,  
71343, 0.10,  0.09,  0.96,  294.91,  0.11,  -0.06,  0.96,  
72343, 0.10,  0.08,  0.98,  294.78,  0.11,  -0.05,  0.98,  
73342, 0.08,  0.09,  0.98,  294.81,  0.10,  -0.05,  0.97,  
74343, 0.04,  0.02,  0.70,  294.93,  0.02,  -0.10,  0.75,  
76343, 0.45,  0.15,  1.02,  294.75,  0.47,  0.06,  0.98,  
77343, 0.08,  0.19,  0.98,  294.27,  0.10,  0.07,  0.98,  
78343, 0.08,  0.19,  0.98,  294.37,  0.11,  0.07,  0.97,  
79343, 0.08,  0.19,  0.99,  294.21,  0.10,  0.08,  0.98,  
81343, 0.10,  0.19,  0.98,  294.12,  0.11,  0.07,  0.97,  
82343, 0.08,  0.19,  0.98,  294.09,  0.11,  0.07,  0.98,  
83343, 0.10,  0.19,  0.98,  294.16,  0.10,  0.07,  0.97,  
84343, 0.08,  0.19,  0.98,  293.96,  0.10,  0.07,  0.97,  
86343, 0.08,  0.19,  0.98,  294.07,  0.10,  0.08,  0.97,  
87344, 0.08,  0.19,  0.98,  294.16,  0.11,  0.07,  0.98,  
88343, 0.08,  0.19,  0.98,  294.34,  0.10,  0.08,  0.97,  
89342, 0.08,  0.19,  0.98,  294.33,  0.11,  0.07,  0.96,  
91343, 0.10,  0.19,  0.98,  293.97,  0.10,  0.08,  0.97,  
92344, 0.10,  0.19,  0.98,  294.17,  0.10,  0.08,  0.97,  
93343, 0.08,  0.19,  0.98,  294.08,  0.10,  0.08,  0.97,  
94344, 0.08,  0.19,  0.98,  294.01,  0.10,  0.08,  0.96,  
96344, 0.08,  0.19,  0.99,  293.91,  0.11,  0.08,  0.97,  
97344, 0.08,  0.19,  0.98,  293.95,  0.10,  0.08,  0.97,  
98343, 0.08,  0.19,  0.99,  294.00,  0.10,  0.08,  0.97,  
99344, 0.08,  0.19,  0.98,  294.10,  0.10,  0.08,  0.97,  
101344, 0.08,  0.19,  0.98,  294.03,  0.10,  0.08,  0.98,  
102343, 0.08,  0.19,  0.98,  293.99,  0.10,  0.08,  0.98,  
103344, 0.08,  0.19,  0.99,  294.01,  0.10,  0.08,  0.97,  
104343, 0.08,  0.19,  0.98,  294.08,  0.10,  0.08,  0.97,  
106344, 0.08,  0.19,  0.98,  294.06,  0.10,  0.08,  0.97,  
107343, 0.08,  0.19,  0.98,  294.05,  0.10,  0.08,  0.97,  
108344, 0.08,  0.19,  0.98,  294.09,  0.10,  0.08,  0.97,  
109343, 0.08,  0.19,  0.98,  293.90,  0.10,  0.08,  0.97,  
111344, 0.08,  0.19,  0.98,  294.12,  0.10,  0.08,  0.98,  
112344, 0.08,  0.19,  0.98,  293.93,  0.10,  0.08,  0.98,  
113344, 0.08,  0.19,  0.98,  294.03,  0.10,  0.08,  0.98,  
114344, 0.08,  0.19,  0.98,  294.03,  0.10,  0.08,  0.98,  
116344, 0.08,  0.19,  0.98,  294.05,  0.10,  0.08,  0.98,  
117344, 0.08,  0.19,  0.98,  293.79,  0.10,  0.08,  0.97,  
118344, 0.08,  0.19,  0.98,  293.89,  0.10,  0.08,  0.97,  
119344, 0.08,  0.19,  0.98,  294.29,  0.10,  0.08,  0.97,  
121345, 0.08,  0.19,  0.98,  293.99,  0.10,  0.08,  0.97,  
122344, 0.08,  0.19,  0.98,  293.80,  0.10,  0.08,  0.97,  
123344, 0.08,  0.19,  0.98,  294.04,  0.10,  0.08,  0.97,  
124345, 0.08,  0.19,  0.98,  293.97,  0.09,  0.08,  0.97,  
126345, 0.08,  0.19,  0.98,  293.92,  0.10,  0.08,  0.97,  
127344, 0.08,  0.19,  0.98,  293.83,  0.10,  0.08,  0.97,  
128345, 0.08,  0.19,  0.98,  293.75,  0.10,  0.07,  0.97,  
129344, 0.08,  0.19,  0.98,  294.05,  0.10,  0.08,  0.97,  
131345, 0.08,  0.19,  0.98,  293.86,  0.10,  0.08,  0.96,  
132344, 0.08,  0.19,  0.98,  294.01,  0.10,  0.08,  0.97,  
133345, 0.08,  0.19,  0.98,  294.05,  0.10,  0.08,  0.98,  
134345, 0.08,  0.19,  0.98,  293.92,  0.10,  0.08,  0.96,  
136345, 0.08,  0.19,  0.98,  293.85,  0.10,  0.08,  0.97,  
137345, 0.08,  0.19,  0.98,  293.85,  0.10,  0.08,  0.98,  
138345, 0.08,  0.19,  0.98,  293.92,  0.10,  0.08,  0.97,  
139345, 0.08,  0.19,  0.99,  293.99,  0.10,  0.08,  0.96,  
141345, 0.08,  0.19,  0.98,  293.77,  0.11,  0.08,  0.98,  
142345, 0.08,  0.19,  0.98,  293.81,  0.10,  0.08,  0.97,  
143345, 0.08,  0.19,  0.98,  293.85,  0.10,  0.08,  0.97,  
144346, 0.08,  0.19,  0.98,  293.86,  0.10,  0.08,  0.97,  
146345, 0.08,  0.19,  0.98,  293.69,  0.10,  0.08,  0.98,  
147345, 0.08,  0.19,  0.98,  293.85,  0.10,  0.08,  0.98,  
148345, 0.08,  0.19,  0.98,  293.99,  0.10,  0.08,  0.97,  
149346, 0.08,  0.19,  0.98,  293.77,  0.10,  0.08,  0.97,  
151346, 0.08,  0.19,  0.98,  293.79,  0.10,  0.08,  0.97,  
152345, 0.08,  0.19,  0.98,  293.89,  0.10,  0.08,  0.97,  
153346, 0.08,  0.19,  0.98,  293.91,  0.10,  0.08,  0.98,  
154345, 0.08,  0.19,  0.98,  293.87,  0.10,  0.08,  0.97,  
156346, 0.08,  0.19,  0.98,  293.82,  0.10,  0.08,  0.97,  
157345, 0.08,  0.19,  0.98,  293.89,  0.10,  0.08,  0.97,  
158346, 0.08,  0.19,  0.98,  293.88,  0.10,  0.08,  0.97,  
159345, 0.08,  0.19,  0.98,  293.94,  0.10,  0.08,  0.97,  
161346, 0.08,  0.19,  0.98,  293.90,  0.09,  0.08,  0.97,  
162345, 0.08,  0.19,  0.98,  293.92,  0.10,  0.08,  0.97,  
163346, 0.08,  0.19,  0.98,  294.12,  0.10,  0.08,  0.97,  
164346, 0.08,  0.19,  0.98,  293.96,  0.10,  0.08,  0.98,  
166346, 0.08,  0.19,  0.98,  293.94,  0.10,  0.08,  0.98,  
167346, 0.08,  0.19,  0.98,  293.87,  0.10,  0.08,  0.97,  
168346, 0.08,  0.19,  0.98,  293.95,  0.10,  0.08,  0.97,  
169346, 0.08,  0.19,  0.98,  294.06,  0.10,  0.08,  0.98,  
171345, 0.08,  0.19,  0.98,  294.00,  0.10,  0.08,  0.97,  
172346, 0.08,  0.19,  0.98,  294.15,  0.10,  0.08,  0.97,  
173346, 0.08,  0.19,  0.98,  293.79,  0.10,  0.08,  0.97,  
174347, 0.08,  0.19,  0.98,  293.85,  0.10,  0.08,  0.97,  
176346, 0.08,  0.19,  0.98,  293.90,  0.10,  0.08,  0.97,  
177346, 0.08,  0.19,  0.98,  293.91,  0.10,  0.08,  0.98,  
178347, 0.08,  0.19,  0.98,  293.98,  0.10,  0.08,  0.97,  
179346, 0.08,  0.19,  0.98,  293.85,  0.10,  0.08,  0.98,  
181346, 0.31,  0.08,  0.96,  294.42,  0.34,  -0.05,  0.96,  
182346, 0.10,  0.20,  0.88,  294.44,  0.12,  0.08,  0.86,  
183347, 0.28,  0.22,  0.94,  294.67,  0.30,  0.09,  0.93,  
185285, 0.10,  -0.36,  0.84,  295.10,  0.06,  -0.45,  1.02,  
191730, 0.21,  0.11,  0.84,  295.11,  0.27,  -0.01,  0.83,  
192730, 0.14,  0.14,  0.95,  295.20,  0.17,  -0.00,  0.96,  
193730, 0.14,  0.11,  0.99,  295.23,  0.17,  -0.00,  0.98,  
194729, 0.10,  0.15,  0.96,  295.29,  0.12,  0.04,  0.98,  
195730, 0.10,  0.05,  1.02,  295.26,  0.11,  -0.07,  1.04,  
196730, 0.04,  0.05,  0.95,  295.46,  0.06,  -0.09,  0.96,  
197730, 0.04,  0.06,  0.98,  295.32,  0.06,  -0.08,  0.98,  
198730, 0.02,  0.06,  0.98,  295.20,  0.04,  -0.08,  0.98,  
199730, 0.01,  0.06,  0.95,  295.32,  0.03,  -0.07,  0.95,  
200730, 0.02,  0.06,  0.95,  295.13,  0.05,  -0.06,  0.94,  
201731, 0.08,  -0.00,  0.96,  295.26,  0.11,  -0.16,  0.96,  
202730, 0.02,  0.08,  0.96,  295.32,  0.05,  -0.06,  0.97,  
203730, 0.08,  0.09,  0.99,  294.61,  0.11,  -0.02,  0.99,  
204730, 0.13,  0.14,  1.06,  295.23,  0.14,  0.06,  1.03,  
205730, 0.07,  0.09,  1.02,  295.01,  0.08,  -0.00,  1.00,  
206731, 0.02,  0.20,  0.99,  295.25,  0.04,  0.10,  0.99,  
207730, -0.02,  0.26,  0.94,  294.99,  -0.01,  0.15,  0.94,  
208731, 0.01,  0.14,  0.98,  295.09,  0.03,  0.01,  0.98,  
209730, -0.02,  0.11,  0.92,  295.19,  0.00,  -0.02,  0.94,  
210731, 0.02,  0.11,  0.98,  295.17,  0.04,  -0.02,  0.99,  
211731, 0.07,  0.14,  1.03,  294.83,  0.08,  0.01,  1.03,  
212730, 0.02,  0.13,  0.98,  295.11,  0.05,  -0.00,  0.98,  
213731, 0.04,  0.10,  0.98,  294.62,  0.06,  -0.02,  0.98,  
214730, 0.04,  0.11,  0.98,  294.87,  0.05,  -0.01,  0.97,  
215731, 0.01,  0.10,  0.98,  294.23,  0.04,  -0.02,  0.98,  
216730, 0.04,  0.13,  0.99,  294.86,  0.05,  -0.00,  0.98,  
217731, 0.04,  0.13,  0.98,  294.88,  0.05,  -0.00,  0.98,  
218731, 0.02,  0.15,  0.96,  295.16,  0.04,  0.03,  0.96,  
219730, 0.04,  0.15,  0.99,  295.32,  0.05,  0.03,  0.99,  
220731, 0.08,  0.14,  1.02,  294.96,  0.10,  0.03,  1.01,  
221730, 0.05,  0.15,  0.96,  295.10,  0.07,  0.04,  0.96,  
222731, 0.05,  0.15,  0.98,  295.07,  0.08,  0.03,  0.98,  
223731, 0.05,  0.11,  0.98,  295.07,  0.08,  -0.01,  0.99,  
224731, 0.10,  0.14,  0.99,  295.08,  0.11,  0.03,  1.00,  
225731, 0.07,  0.11,  0.96,  295.11,  0.09,  -0.02,  0.96,  
226731, 0.16,  0.06,  1.01,  295.06,  0.17,  -0.07,  1.00,  
227731, 0.27,  0.02,  1.01,  295.00,  0.29,  -0.10,  1.02,  
228731, 0.04,  0.04,  0.95,  295.10,  0.06,  -0.11,  0.96,  
229731, 0.04,  0.09,  0.91,  295.21,  0.06,  -0.05,  0.93,  
230731, 0.01,  0.02,  1.16,  294.93,  0.03,  -0.09,  1.15,  
231731, 0.04,  0.10,  0.92,  294.73,  0.06,  -0.02,  0.95,  
232731, 0.11,  0.13,  0.94,  294.56,  0.14,  0.03,  0.97,  
233732, 0.13,  0.08,  0.92,  295.01,  0.16,  -0.07,  0.94,  
234731, 0.05,  0.09,  0.92,  294.96,  0.08,  -0.07,  0.93,  
235731, -0.04,  -0.10,  0.77,  295.21,  0.01,  -0.30,  0.77,  
236731, 0.13,  -0.21,  0.71,  295.15,  0.16,  -0.40,  0.78,  
237731, 0.13,  -0.21,  0.84,  294.97,  0.16,  -0.43,  0.77,  
238732, -0.02,  -0.14,  0.82,  294.96,  0.01,  -0.34,  0.84,  
239731, -0.10,  0.06,  0.92,  294.97,  -0.08,  -0.07,  0.93,  
240732, -0.04,  -0.00,  0.80,  295.14,  -0.01,  -0.14,  0.79,  
241731, 0.01,  0.15,  0.94,  294.74,  0.04,  0.04,  0.94,  
242732, 0.05,  0.17,  0.99,  294.76,  0.08,  0.08,  1.01,  
243732, 0.05,  0.19,  1.05,  295.01,  0.06,  0.09,  1.03,  
244731, 0.14,  0.23,  0.98,  294.58,  0.16,  0.13,  0.95,  
245732, 0.18,  0.27,  0.92,  294.53,  0.20,  0.16,  0.91,  
246731, 0.34,  -0.03,  0.75,  294.71,  0.37,  -0.18,  0.78,  
247732, 0.14,  0.02,  1.03,  294.66,  0.18,  -0.10,  1.06,  
248731, 0.18,  0.01,  0.95,  294.80,  0.21,  -0.14,  0.96,  
249732, 0.27,  0.06,  0.95,  295.00,  0.30,  -0.07,  0.96,  
250732, 0.19,  0.02,  0.95,  295.00,  0.22,  -0.10,  0.96,  
251731, 0.16,  0.06,  0.98,  295.16,  0.19,  -0.07,  0.98,  
252732, 0.14,  0.01,  0.95,  294.97,  0.17,  -0.12,  0.96,  
253731, 0.11,  0.01,  0.96,  294.99,  0.15,  -0.13,  0.97,  
254732, 0.11,  -0.10,  0.87,  295.19,  0.13,  -0.28,  0.86,  
255732, 0.01,  0.01,  0.95,  294.84,  0.04,  -0.14,  0.95,  
256732, -0.02,  0.04,  0.95,  294.81,  -0.01,  -0.10,  0.96,  
257732, 0.01,  0.01,  0.99,  295.11,  0.05,  -0.13,  1.03,  
258732, -0.01,  0.04,  0.96,  294.81,  0.01,  -0.10,  0.96,  
259732, -0.02,  -0.04,  0.94,  294.99,  0.00,  -0.19,  0.94,  
260732, 0.02,  0.02,  0.95,  294.95,  0.06,  -0.13,  0.96,  
261732, 0.01,  -0.01,  0.94,  294.90,  0.04,  -0.15,  0.96,  
262732, -0.01,  0.01,  0.94,  294.96,  0.02,  -0.14,  0.95,  
263732, -0.24,  -0.07,  0.89,  294.94,  -0.22,  -0.23,  0.94,  
264732, -0.19,  0.01,  0.87,  294.94,  -0.18,  -0.14,  0.89,  
265733, -0.13,  0.14,  0.94,  294.93,  -0.10,  0.01,  0.94,  
266732, -0.08,  0.11,  0.99,  294.68,  -0.06,  -0.01,  0.98,  
267732, -0.13,  0.11,  0.98,  294.79,  -0.11,  -0.01,  0.97,  
268732, -0.13,  0.11,  0.96,  294.53,  -0.12,  -0.01,  0.97,  
269732, -0.11,  0.14,  0.98,  294.81,  -0.09,  0.02,  0.98,  
270733, -0.13,  0.11,  0.95,  295.25,  -0.12,  -0.01,  0.96,  
271732, -0.15,  0.10,  0.95,  295.43,  -0.12,  -0.03,  0.95,  
272733, -0.11,  0.10,  0.99,  293.34,  -0.09,  -0.02,  1.00,  
273732, -0.13,  0.11,  0.96,  294.90,  -0.12,  -0.01,  0.98,  
274733, -0.15,  0.17,  0.98,  295.10,  -0.12,  0.04,  0.98,  
275733, -0.08,  0.14,  1.01,  294.98,  -0.06,  0.03,  1.00,  
276732, -0.05,  0.14,  0.85,  295.36,  -0.04,  0.05,  0.87,  
277733, 0.07,  0.01,  0.88,  294.51,  0.10,  -0.13,  0.92,  
278732, 0.27,  0.18,  0.94,  295.28,  0.29,  0.09,  0.92,  
279733, 0.21,  0.13,  0.94,  295.65,  0.23,  0.01,  0.94,  
280732, 0.14,  0.09,  0.99,  295.37,  0.17,  -0.02,  1.00,  
281733, 0.08,  0.09,  0.96,  295.17,  0.11,  -0.04,  0.97,  
282733, 0.11,  0.08,  0.92,  294.82,  0.14,  -0.06,  0.92,  
283732, 0.05,  0.11,  0.96,  295.16,  0.07,  0.00,  0.98,  
284733, 0.08,  0.13,  0.99,  294.53,  0.11,  0.01,  0.98,  
285732, 0.10,  0.11,  0.99,  295.08,  0.12,  -0.00,  0.99,  
286733, 0.02,  0.10,  0.95,  293.66,  0.05,  -0.02,  0.95,  
287733, 0.02,  0.14,  0.98,  293.38,  0.05,  0.03,  0.98,  
288733, 0.02,  0.11,  0.99,  293.33,  0.05,  0.00,  0.99,  
289733, 0.01,  0.14,  0.96,  293.56,  0.03,  0.02,  0.97,  
290733, -0.01,  0.14,  0.98,  293.46,  0.02,  0.02,  0.98,  
291733, 0.01,  0.14,  0.99,  293.91,  0.03,  0.02,  1.01,  
292733, 0.01,  0.13,  0.96,  293.46,  0.03,  0.01,  0.97,  
293733, -0.01,  0.14,  0.99,  294.38,  0.01,  0.01,  0.99,  
294733, 0.13,  0.04,  0.99,  294.95,  0.16,  -0.07,  1.00,  
295733, 0.07,  0.11,  0.95,  294.82,  0.09,  -0.02,  0.96,  
296733, -0.05,  0.17,  1.01,  294.81,  -0.04,  0.03,  1.01,  
297734, -0.01,  0.13,  0.85,  295.12,  0.02,  -0.01,  0.85,  
298733, 0.04,  0.14,  0.94,  294.78,  0.06,  0.03,  0.94,  
299734, 0.02,  0.17,  0.96,  294.63,  0.03,  0.05,  0.96,  
300733, -0.01,  0.27,  0.96,  294.47,  0.01,  0.17,  0.96,  
301733, 0.05,  0.13,  1.09,  294.66,  0.07,  0.02,  1.04,  
302734, 0.14,  0.13,  1.23,  292.93,  0.04,  0.11,  1.40,  
303733, 1.18,  0.05,  -0.19,  293.21,  0.73,  -0.33,  -0.18,  
304734, 2.69,  -0.52,  2.65,  299.07,  2.47,  -0.24,  2.68,  
305733, 0.24,  -0.22,  1.19,  301.78,  0.27,  -0.39,  1.19,  
306734, 0.30,  -0.26,  0.45,  306.95,  0.32,  -0.50,  0.45,  
307734, 0.33,  -0.00,  1.15,  309.05,  0.31,  -0.18,  1.17,  
308733, 0.51,  -0.39,  0.74,  313.75,  0.53,  -0.64,  0.82,  
309734, 0.24,  -0.16,  0.84,  318.02,  0.28,  -0.36,  0.87,  
310733, 0.40,  -0.43,  0.61,  321.35,  0.45,  -0.68,  0.62,  
311734, 0.25,  -0.27,  0.87,  325.08,  0.28,  -0.49,  0.89,  
312733, 0.27,  -0.30,  0.66,  330.10,  0.30,  -0.50,  0.69,  
313734, 0.28,  -0.35,  0.71,  334.49,  0.33,  -0.55,  0.76,  
314734, 0.28,  -0.36,  0.77,  338.45,  0.32,  -0.59,  0.82,  
315734, 0.25,  -0.37,  0.70,  342.68,  0.29,  -0.59,  0.76,  
316734, 0.28,  -0.36,  0.68,  347.72,  0.33,  -0.59,  0.73,  
317733, 0.36,  -0.31,  0.71,  352.38,  0.37,  -0.54,  0.75,  
318734, 0.28,  -0.36,  0.68,  356.54,  0.33,  -0.60,  0.73,  
319734, 0.31,  -0.36,  0.75,  361.91,  0.35,  -0.56,  0.78,  
320734, 0.33,  -0.36,  0.71,  367.18,  0.36,  -0.60,  0.75,  
321734, 0.31,  -0.31,  0.73,  372.53,  0.35,  -0.53,  0.77,  
322734, 0.36,  -0.30,  0.77,  377.25,  0.38,  -0.51,  0.79,  
323734, 0.27,  -0.32,  0.73,  382.03,  0.31,  -0.55,  0.75,  
324734, 0.28,  -0.36,  0.75,  386.81,  0.32,  -0.58,  0.80,  
325734, 0.30,  -0.32,  0.73,  392.00,  0.33,  -0.55,  0.75,  
326734, 0.27,  -0.40,  0.68,  396.57,  0.30,  -0.61,  0.74,  
327734, 0.25,  -0.37,  0.71,  401.98,  0.31,  -0.60,  0.75,  
328734, 0.25,  -0.31,  0.75,  406.64,  0.30,  -0.53,  0.79,  
329734, 0.30,  -0.34,  0.74,  410.43,  0.33,  -0.54,  0.79,  
330734, 0.28,  -0.39,  0.67,  415.32,  0.33,  -0.61,  0.72,  
331735, 0.28,  -0.43,  0.61,  420.30,  0.33,  -0.66,  0.66,  
332734, 0.28,  -0.32,  0.70,  425.24,  0.32,  -0.55,  0.73,  
333734, 0.31,  -0.31,  0.71,  430.55,  0.35,  -0.53,  0.74,  
334735, 0.31,  -0.36,  0.70,  435.46,  0.37,  -0.59,  0.74,  
335734, 0.31,  -0.32,  0.75,  439.83,  0.37,  -0.54,  0.78,  
336735, 0.30,  -0.40,  0.66,  444.55,  0.35,  -0.64,  0.71,  
337734, 0.28,  -0.37,  0.73,  449.23,  0.32,  -0.61,  0.78,  
338735, 0.25,  -0.36,  0.71,  454.35,  0.31,  -0.60,  0.76,  
339735, 0.27,  -0.37,  0.68,  460.79,  0.31,  -0.60,  0.74,  
340734, 0.28,  -0.34,  0.70,  466.01,  0.33,  -0.56,  0.75,  
341735, 0.30,  -0.35,  0.73,  471.79,  0.33,  -0.55,  0.79,  
342734, 0.25,  -0.25,  0.80,  477.96,  0.30,  -0.46,  0.84,  
343735, 0.31,  -0.30,  0.77,  484.05,  0.35,  -0.49,  0.81,  
344734, 0.36,  -0.30,  0.75,  489.91,  0.36,  -0.49,  0.81,  
345735, 0.28,  -0.35,  0.73,  495.62,  0.32,  -0.55,  0.79,  
346735, 0.30,  -0.28,  0.78,  502.11,  0.33,  -0.52,  0.80,  
347735, 0.27,  -0.36,  0.75,  507.84,  0.31,  -0.58,  0.82,  
348735, 0.27,  -0.35,  0.75,  514.05,  0.32,  -0.58,  0.81,  
349735, 0.31,  -0.34,  0.71,  520.67,  0.35,  -0.58,  0.73,  
350735, 0.30,  -0.36,  0.66,  527.08,  0.33,  -0.57,  0.71,  
351735, 0.27,  -0.26,  0.78,  532.11,  0.30,  -0.46,  0.82,  
352735, 0.36,  -0.36,  0.74,  538.90,  0.39,  -0.61,  0.77,  
353735, 0.25,  -0.43,  0.59,  544.91,  0.31,  -0.63,  0.66,  
354736, 0.22,  -0.36,  0.66,  550.05,  0.27,  -0.58,  0.71,  
355735, 0.28,  -0.21,  0.78,  556.23,  0.29,  -0.39,  0.82,  
356736, 0.30,  -0.31,  0.71,  560.81,  0.34,  -0.54,  0.75,  
357735, 0.30,  -0.27,  0.77,  566.43,  0.33,  -0.51,  0.79,  
358735, 0.31,  -0.31,  0.80,  571.62,  0.35,  -0.54,  0.83,  
359735, 0.27,  -0.36,  0.77,  578.16,  0.31,  -0.54,  0.84,  
360735, 0.27,  -0.32,  0.68,  583.75,  0.30,  -0.53,  0.73,  
361736, 0.31,  -0.17,  0.85,  589.54,  0.33,  -0.40,  0.93,  
362735, 0.34,  -0.30,  0.70,  595.33,  0.37,  -0.49,  0.67,  
363736, 0.30,  -0.34,  0.75,  600.24,  0.33,  -0.55,  0.78,  
364735, 0.31,  -0.44,  0.73,  604.96,  0.36,  -0.65,  0.77,  
365735, 0.30,  -0.21,  0.96,  611.79,  0.32,  -0.42,  0.97,  
366736, 0.31,  -0.39,  0.66,  617.96,  0.35,  -0.65,  0.69,  
367735, 0.30,  -0.45,  0.55,  623.06,  0.35,  -0.70,  0.61,  
368736, 0.30,  -0.31,  0.74,  629.71,  0.32,  -0.54,  0.78,  
369735, 0.27,  -0.28,  0.74,  634.76,  0.31,  -0.49,  0.79,  
370736, 0.33,  -0.22,  0.81,  640.79,  0.33,  -0.40,  0.85,  
371736, 0.39,  -0.23,  0.77,  644.57,  0.38,  -0.46,  0.81,  
372736, 0.28,  -0.43,  0.70,  652.02,  0.33,  -0.64,  0.77,  
373736, 0.36,  -0.50,  0.67,  656.57,  0.37,  -0.71,  0.79,  
374736, 0.28,  -0.52,  0.66,  662.14,  0.35,  -0.74,  0.75,  
375736, 0.45,  -0.25,  0.80,  667.22,  0.44,  -0.46,  0.81,  
376735, 0.27,  -0.39,  0.70,  673.05,  0.32,  -0.58,  0.76,  
377736, 0.30,  -0.41,  0.70,  678.75,  0.35,  -0.64,  0.73,  
378736, 0.30,  -0.35,  0.66,  684.69,  0.34,  -0.58,  0.68,  
379736, 0.28,  -0.39,  0.63,  690.69,  0.33,  -0.61,  0.67,  
