Time, x, y, z, temperature, BMP_altitude, BMP_temperature, BMP_pressure, Humidity, MPU_acc_x, MPU_acc_y, MPU_acc_z, GYRO_x, GYRO_y, GYRO_z, MAG_x, MAG_y, MAG_z, MPX_pressure
841,0.28,0.15,0.89,2.62,294.77,28.6,98968.72,88.4,0.3,0,0.88,-13.54,10.3,-11.22,46.31,-64.55,62.02,31.51
1842,0.4,0.19,0.98,2.62,294.21,28.71,98975.35,88.41,0.41,0.09,0.92,-0.12,-18.35,1.59,36.81,-64.55,56.27,31.51
2841,0.47,0.2,0.92,2.62,294.2,28.73,98975.54,88.36,0.46,0.08,0.89,-1.46,1.65,-1.83,35.63,-65.74,51.68,31.47
3842,0.45,0.17,0.88,2.62,294.53,28.74,98971.55,88.38,0.45,0.04,0.86,-0.55,1.16,0.24,41.56,-66.94,55.13,31.47
4841,0.43,0.14,1.01,2.62,294.79,28.74,98968.54,88.36,0.46,0.02,1.01,-4.88,13.11,-5.55,41.56,-66.94,55.13,31.47
5841,0.47,-0.09,0.82,2.63,294.54,28.76,98971.49,88.37,0.5,-0.27,0.81,6.1,-6.59,2.07,66.5,-71.72,55.13,31.47
6841,0.47,-0.08,0.8,2.63,294.53,28.76,98971.66,88.37,0.49,-0.26,0.79,-3.05,3.05,0.37,67.69,-76.5,52.83,31.51
7841,0.5,-0.05,0.8,2.63,294.51,28.77,98971.86,88.34,0.52,-0.24,0.8,-1.65,1.65,1.52,66.5,-71.72,51.68,31.51
8842,0.27,-0.03,0.88,2.63,294.61,28.77,98970.71,88.38,0.29,-0.18,0.9,-11.65,-0.43,-0.12,65.31,-60.96,62.02,31.47
9841,0.13,-0.13,0.82,2.63,294.74,28.77,98969.14,88.36,0.15,-0.31,0.84,17.8,14.7,-1.77,81.94,-50.2,64.31,31.47
10842,0.19,-0.07,0.91,2.63,294.77,28.78,98968.75,88.37,0.21,-0.23,0.93,5.91,6.46,-0.24,68.87,-53.79,63.16,31.47
11841,0.22,0.19,0.78,2.63,294.61,28.78,98970.72,88.4,0.25,0.04,0.75,6.04,-16.46,0.61,52.25,-52.59,66.61,31.47
12841,0.04,0.14,0.91,2.63,294.59,28.78,98970.88,88.34,0.05,-0.01,0.89,3.9,-9.09,-10.24,60.56,-45.42,68.91,31.47
13841,0.18,0.22,0.98,2.64,294.52,28.78,98971.74,88.36,0.17,0.11,0.99,2.56,7.56,-0.24,48.69,-50.2,68.91,31.51
14841,0.21,0.29,0.95,2.64,294.42,28.78,98972.86,88.37,0.21,0.21,0.89,54.76,51.46,-48.54,35.63,-54.98,62.02,31.51
15842,0.14,0.19,1.06,2.64,294.52,28.79,98971.71,88.34,0.15,0.07,1.08,-51.1,-17.07,18.11,38,-44.23,68.91,31.51
16841,0.27,0.11,1.09,2.64,294.55,28.79,98971.35,88.34,0.26,0.03,1.19,152.01,33.23,80.18,78.37,-49.01,66.61,31.47
17842,-0.5,0.55,0.13,2.64,294.8,28.8,98968.38,88.33,-0.48,0.46,0.06,-69.51,-44.88,9.57,-20.19,15.54,-18.37,31.47
18841,0.47,-0.26,0.82,2.64,294.54,28.81,98970.97,88.34,0.45,-0.44,0.75,54.39,68.41,-190.61,117.56,-56.18,34.45,31.47
19842,0.14,-0.17,0.92,2.64,294.85,28.81,98967.88,88.33,0.18,-0.37,0.92,17.74,-23.66,5.73,95,-51.4,56.27,31.51
20842,0.05,-0.05,0.96,2.64,294.56,28.82,98971.3,88.36,0.06,-0.2,0.97,-8.84,-11.59,-8.9,93.81,-38.25,63.16,31.47
21841,0.05,-0.07,1.1,2.64,294.41,28.82,98973.07,88.33,0.07,-0.23,1.07,13.23,1.04,0.18,90.25,-33.47,68.91,31.47
22842,0.07,0.09,0.92,2.64,294.78,28.82,98968.66,88.34,0.09,-0.07,0.93,-5.91,-6.59,-21.04,83.12,-40.64,67.76,31.47
23842,0.31,0.09,0.91,2.64,294.55,28.82,98971.35,88.37,0.34,-0.06,0.91,-5.3,3.66,2.5,59.38,-60.96,60.87,31.47
24842,0.27,0.08,0.96,2.64,294.77,28.82,98968.77,88.37,0.29,-0.07,0.97,-2.26,0.85,3.9,65.31,-57.38,59.72,31.47
25842,0.28,0.06,0.96,2.64,294.72,28.82,98969.35,88.34,0.29,-0.07,0.95,-0.85,1.46,0.73,65.31,-58.57,63.16,31.47
26832,0.27,0.05,0.91,2.64,294.24,28.83,98975.02,88.37,0.29,-0.1,0.91,3.05,3.41,5.49,65.31,-59.77,60.87,31.51
27805,0.28,0.06,0.94,2.65,294.4,28.83,98973.17,88.37,0.31,-0.09,0.94,-0.06,2.5,0.12,67.69,-57.38,59.72,31.47
28756,0.24,0.05,0.85,2.65,294.66,28.83,98970.12,88.37,0.26,-0.11,0.85,-8.41,-0.06,-3.48,71.25,-54.98,64.31,31.47
29732,0.39,0.1,0.94,2.65,294.59,28.83,98970.88,88.34,0.41,-0.04,0.93,-4.21,0.85,0.85,65.31,-65.74,58.57,31.47
30708,0.31,0.11,0.91,2.65,294.86,28.84,98967.75,88.38,0.33,-0.03,0.9,-13.41,19.57,9.21,67.69,-63.35,57.42,31.47
31698,0.25,0.01,0.95,2.65,294.64,28.84,98970.33,88.33,0.28,-0.14,0.95,30.91,-27.62,-33.6,73.62,-52.59,63.16,31.47
32671,0.21,0.08,0.94,2.65,294.77,28.84,98968.72,88.33,0.23,-0.07,0.94,-4.33,8.84,3.72,64.12,-51.4,64.31,31.47
33655,0.3,0,0.96,2.65,294.74,28.84,98969.17,88.34,0.32,-0.15,0.98,-4.02,1.95,-0.3,71.25,-59.77,60.87,31.47
34634,0.27,0.01,0.94,2.65,294.76,28.84,98968.92,88.38,0.29,-0.14,0.94,-0.55,0.85,-0.55,71.25,-58.57,59.72,31.51
35617,0.27,0.01,0.92,2.65,294.78,28.84,98968.61,88.36,0.3,-0.14,0.93,-1.59,3.05,0.3,70.06,-59.77,60.87,31.47
36592,0.27,0.02,0.92,2.65,294.8,28.85,98968.49,88.34,0.29,-0.13,0.92,-0.79,3.66,-0.06,70.06,-57.38,62.02,31.47
37540,0.31,0,0.96,2.65,294.95,28.85,98966.61,88.36,0.33,-0.15,0.98,-3.11,4.02,0.24,72.44,-57.38,59.72,31.47
38515,0.36,0.08,0.89,2.65,294.98,28.85,98966.33,88.36,0.35,-0.01,0.84,3.6,11.65,-15.98,66.5,-64.55,58.57,31.47
39516,0.36,-0.14,0.88,2.65,294.99,28.85,98966.22,88.37,0.46,-0.32,0.9,10.24,3.6,-11.16,80.75,-63.35,57.42,31.47
40510,0.34,0,0.91,2.65,294.82,28.86,98968.1,88.36,0.37,-0.15,0.92,6.28,1.52,-7.32,72.44,-63.35,58.57,31.47
41469,0.21,0.09,0.96,2.65,295.02,28.86,98965.85,88.36,0.21,-0.05,0.98,-1.65,2.44,0.12,68.87,-51.4,63.16,31.47
42470,0.18,0.08,0.96,2.65,295.13,28.86,98964.57,88.37,0.21,-0.07,0.96,-2.07,2.8,0.43,67.69,-50.2,65.46,31.47
43469,0.18,0.08,0.96,2.65,294.92,28.86,98967.03,88.36,0.2,-0.06,0.96,-2.26,1.52,-0.43,65.31,-53.79,66.61,31.47
44456,0.16,0.08,0.96,2.65,294.99,28.86,98966.22,88.37,0.18,-0.07,0.96,-3.11,3.6,1.59,70.06,-49.01,64.31,31.47
45401,0.14,0.08,0.96,2.65,295.03,28.86,98965.67,88.34,0.17,-0.07,0.96,-1.22,2.44,0.18,68.87,-49.01,65.46,31.47
46384,0.16,0.06,0.96,2.65,294.94,28.87,98967.07,88.36,0.19,-0.07,0.97,-0.98,1.83,-1.34,68.87,-46.62,67.76,31.47
47384,0.18,0.08,0.96,2.65,295.09,28.86,98965.03,88.37,0.19,-0.07,0.96,-2.2,1.46,0.67,67.69,-50.2,64.31,31.47
48384,0.19,0.06,0.96,2.65,295.07,28.87,98965.23,88.37,0.21,-0.08,0.95,-1.34,1.52,0.18,65.31,-50.2,66.61,31.47
49375,-0.15,0.08,0.98,2.65,294.87,28.87,98967.57,88.33,-0.14,-0.08,0.94,-0.61,1.22,-0.67,68.87,-23.91,75.8,31.47
50342,-0.1,0.05,0.95,2.65,294.93,28.87,98966.89,88.34,-0.07,-0.11,0.98,0,2.2,-2.07,72.44,-25.1,74.65,31.47
51342,-0.01,0.1,0.99,2.65,295.01,28.87,98966.12,88.36,0,-0.05,0.95,-2.99,-18.54,0.98,68.87,-33.47,73.5,31.47
52342,-0.01,0.05,0.91,2.65,294.91,28.87,98966.72,88.36,0.03,-0.1,0.95,-3.66,-0.61,-0.61,71.25,-39.45,70.05,31.47
53342,0.05,0.17,0.98,2.65,294.82,28.88,98968.22,88.36,0.07,0.02,0.96,35.55,2.56,-38.41,65.31,-41.84,72.35,31.47
54342,0.08,0.18,0.99,2.65,294.92,28.87,98966.97,88.37,0.1,0.09,1,-2.68,6.52,-0.43,48.69,-40.64,68.91,31.47
55343,0.1,0.08,0.98,2.65,294.96,28.88,98965.81,88.34,0.11,-0.06,0.97,0.49,4.88,-2.01,68.87,-41.84,68.91,31.47
56342,0.05,0.06,0.96,2.65,294.94,28.88,98966.77,88.34,0.08,-0.08,0.96,-0.55,1.65,-0.3,68.87,-41.84,73.5,31.47
57342,0.08,0.08,0.95,2.65,295.14,28.88,98964.45,88.36,0.11,-0.07,0.96,1.71,-3.54,-0.85,70.06,-43.03,71.2,31.47
58342,0.08,0.08,0.95,2.65,294.89,28.88,98967.3,88.33,0.11,-0.07,0.95,0.06,2.13,-0.12,66.5,-45.42,72.35,31.47
59342,0.1,0.06,0.96,2.65,294.8,28.88,98968.03,88.36,0.11,-0.07,0.98,-2.07,0.79,-0.43,62.94,-45.42,70.05,31.47
60343,0.1,0.06,0.95,2.65,294.5,28.89,98972,88.33,0.12,-0.07,0.95,-0.55,0.55,-0.24,66.5,-43.03,68.91,31.47
61342,0.11,0.08,0.96,2.65,294.93,28.89,98966.86,88.34,0.14,-0.06,0.96,-1.22,2.38,-0.91,65.31,-46.62,67.76,31.47
62343,0.11,0.08,0.98,2.65,295.13,28.88,98964.5,88.37,0.13,-0.06,0.98,-0.98,2.56,-0.61,66.5,-44.23,68.91,31.47
63342,0.1,0.09,0.96,2.65,295.1,28.89,98965.27,88.33,0.12,-0.06,0.97,-1.89,2.13,0.67,65.31,-44.23,68.91,31.47
64343,0.1,0.08,0.95,2.65,295.07,28.89,98965.27,88.34,0.11,-0.07,0.96,-3.05,3.66,0.24,65.31,-43.03,67.76,31.47
65343,0.1,0.08,0.96,2.65,294.73,28.89,98969.25,88.36,0.12,-0.06,0.97,-3.05,2.56,0.3,65.31,-44.23,67.76,31.47
66342,0.1,0.08,0.96,2.65,295.07,28.89,98965.27,88.37,0.12,-0.06,0.96,-1.83,2.87,-0.3,65.31,-43.03,70.05,31.47
67343,0.1,0.09,0.99,2.65,294.87,28.9,98967.57,88.36,0.13,-0.05,0.98,-0.61,2.44,-0.91,62.94,-44.23,67.76,31.47
68342,0.1,0.09,0.98,2.66,294.84,28.9,98968,88.33,0.1,-0.04,0.98,-4.57,2.2,1.04,62.94,-41.84,70.05,31.47
69342,0.08,0.09,0.96,2.66,294.99,28.9,98965.76,88.33,0.1,-0.05,0.96,-1.52,1.83,0.3,64.12,-45.42,70.05,31.47
70343,0.1,0.08,0.98,2.66,294.91,28.9,98967.05,88.37,0.13,-0.05,0.98,-2.32,2.32,-0.49,62.94,-45.42,70.05,31.47
71343,0.1,0.09,0.96,2.66,294.91,28.9,98967.13,88.36,0.11,-0.06,0.96,-1.59,2.62,-0.98,64.12,-44.23,70.05,31.47
72343,0.1,0.08,0.98,2.66,294.78,28.9,98968.7,88.37,0.11,-0.05,0.98,-1.22,0.98,-1.28,64.12,-44.23,68.91,31.47
73342,0.08,0.09,0.98,2.66,294.81,28.91,98968.3,88.34,0.1,-0.05,0.97,-1.83,3.17,-0.12,62.94,-41.84,70.05,31.47
74343,0.04,0.02,0.7,2.66,294.93,28.91,98966.86,88.33,0.02,-0.1,0.75,-20.55,-57.8,22.38,65.31,-45.42,67.76,31.47
75342,0.39,0.56,0.8,2.66,294.84,28.91,98967.94,88.34,0.4,0.53,0.77,-10.79,12.99,-10.06,20.19,-68.13,43.64,31.47
76343,0.45,0.15,1.02,2.66,294.75,28.91,98968.99,88.36,0.47,0.06,0.98,-26.22,-26.4,18.48,48.69,-56.18,63.16,31.47
77343,0.08,0.19,0.98,2.66,294.27,28.92,98974.66,88.33,0.1,0.07,0.98,-1.34,2.26,-0.3,53.44,-45.42,68.91,31.47
78343,0.08,0.19,0.98,2.66,294.37,28.92,98973.47,88.34,0.11,0.07,0.97,-1.59,2.26,-0.18,53.44,-43.03,68.91,31.47
79343,0.08,0.19,0.99,2.66,294.21,28.92,98975.76,88.37,0.1,0.08,0.98,-1.52,2.38,-0.24,54.63,-44.23,68.91,31.47
80343,0.08,0.19,0.99,2.66,294.33,28.92,98973.91,88.37,0.1,0.07,0.98,-1.59,2.32,-0.18,52.25,-44.23,68.91,31.47
81343,0.1,0.19,0.98,2.66,294.12,28.92,98976.41,88.34,0.11,0.07,0.97,-1.65,2.32,-0.3,49.88,-45.42,71.2,31.47
82343,0.08,0.19,0.98,2.66,294.09,28.93,98976.82,88.37,0.11,0.07,0.98,-1.65,2.26,-0.24,49.88,-46.62,72.35,31.47
83343,0.1,0.19,0.98,2.66,294.16,28.93,98975.92,88.36,0.1,0.07,0.97,-1.46,2.32,-0.18,54.63,-46.62,67.76,31.47
84343,0.08,0.19,0.98,2.66,293.96,28.94,98978.39,88.33,0.1,0.07,0.97,-1.4,2.07,-0.18,51.06,-44.23,67.76,31.47
85343,0.08,0.19,0.98,2.66,293.98,28.95,98978.13,88.33,0.1,0.07,0.97,-1.71,2.13,-0.18,52.25,-45.42,71.2,31.47
86343,0.08,0.19,0.98,2.66,294.07,28.95,98977,88.33,0.1,0.08,0.97,-1.59,2.5,0.06,51.06,-43.03,68.91,31.47
87344,0.08,0.19,0.98,2.66,294.16,28.95,98975.92,88.33,0.11,0.07,0.98,-1.4,2.07,-0.24,53.44,-41.84,71.2,31.47
88343,0.08,0.19,0.98,2.66,294.34,28.95,98973.79,88.37,0.1,0.08,0.97,-1.71,2.07,-0.18,53.44,-41.84,70.05,31.47
89342,0.08,0.19,0.98,2.67,294.33,28.95,98975.88,88.37,0.11,0.07,0.96,-1.4,2.26,-0.18,51.06,-45.42,71.2,31.47
90343,0.08,0.19,0.98,2.67,294.22,28.95,98977.64,88.37,0.1,0.08,0.97,-1.65,2.26,-0.3,51.06,-43.03,68.91,31.47
91343,0.1,0.19,0.98,2.67,293.97,28.96,98978.27,88.33,0.1,0.08,0.97,-1.46,2.07,-0.12,53.44,-44.23,68.91,31.47
92344,0.1,0.19,0.98,2.67,294.17,28.96,98975.85,88.33,0.1,0.08,0.97,-1.59,1.83,-0.3,51.06,-43.03,68.91,31.47
93343,0.08,0.19,0.98,2.67,294.08,28.96,98976.91,88.37,0.1,0.08,0.97,-1.52,2.26,-0.18,53.44,-45.42,68.91,31.47
94344,0.08,0.19,0.98,2.67,294.01,28.97,98977.75,88.33,0.1,0.08,0.96,-1.46,2.26,-0.18,51.06,-45.42,72.35,31.47
95343,0.08,0.19,0.98,2.67,294.05,28.97,98977.27,88.34,0.11,0.07,0.97,-1.46,2.38,-0.06,52.25,-45.42,67.76,31.47
96344,0.08,0.19,0.99,2.67,293.91,28.97,98978.92,88.34,0.11,0.08,0.97,-1.65,2.2,-0.12,51.06,-44.23,71.2,31.47
97344,0.08,0.19,0.98,2.67,293.95,28.97,98978.41,88.33,0.1,0.08,0.97,-1.71,2.13,-0.37,54.63,-44.23,71.2,31.47
98343,0.08,0.19,0.99,2.67,294,28.98,98977.85,88.33,0.1,0.08,0.97,-1.46,2.26,-0.12,51.06,-41.84,68.91,31.47
99344,0.08,0.19,0.98,2.67,294.1,28.98,98979.38,88.33,0.1,0.08,0.97,-1.71,2.07,-0.3,51.06,-45.42,70.05,31.47
100343,0.08,0.19,0.98,2.67,294.14,28.98,98976.28,88.33,0.1,0.08,0.97,-1.59,2.26,-0.06,52.25,-44.23,70.05,31.47
101344,0.08,0.19,0.98,2.67,294.03,28.99,98977.46,88.36,0.1,0.08,0.98,-1.71,2.44,-0.18,52.25,-41.84,71.2,31.47
102343,0.08,0.19,0.98,2.68,293.99,28.99,98977.94,88.34,0.1,0.08,0.98,-1.59,2.26,0,51.06,-47.81,68.91,31.47
103344,0.08,0.19,0.99,2.68,294.01,28.99,98977.78,88.37,0.1,0.08,0.97,-1.59,2.26,-0.12,53.44,-45.42,72.35,31.47
104343,0.08,0.19,0.98,2.68,294.08,28.99,98976.95,88.33,0.1,0.08,0.97,-1.59,2.32,-0.3,49.88,-44.23,68.91,31.47
105344,0.08,0.19,0.98,2.68,293.89,28.99,98979.2,88.36,0.1,0.08,0.98,-1.46,2.2,-0.37,51.06,-45.42,70.05,31.47
106344,0.08,0.19,0.98,2.68,294.06,28.99,98977.11,88.36,0.1,0.08,0.97,-1.52,2.13,0,49.88,-41.84,68.91,31.47
107343,0.08,0.19,0.98,2.68,294.05,29,98977.32,88.36,0.1,0.08,0.97,-1.46,2.32,-0.06,49.88,-44.23,70.05,31.47
108344,0.08,0.19,0.98,2.68,294.09,29,98976.88,88.33,0.1,0.08,0.97,-1.52,2.13,-0.3,51.06,-44.23,70.05,31.47
109343,0.08,0.19,0.98,2.68,293.9,29,98975.39,88.31,0.1,0.08,0.97,-1.4,2.32,-0.24,53.44,-44.23,68.91,31.47
110344,0.08,0.19,0.98,2.68,294.12,29.01,98976.49,88.34,0.1,0.08,0.98,-1.59,2.44,0.06,54.63,-44.23,71.2,31.47
111344,0.08,0.19,0.98,2.68,294.12,29.01,98976.5,88.33,0.1,0.08,0.98,-1.52,2.32,0,49.88,-43.03,68.91,31.47
112344,0.08,0.19,0.98,2.68,293.93,29.01,98978.75,88.31,0.1,0.08,0.98,-1.59,2.5,-0.06,49.88,-44.23,71.2,31.47
113344,0.08,0.19,0.98,2.68,294.03,29.02,98977.54,88.33,0.1,0.08,0.98,-1.34,2.07,-0.06,52.25,-41.84,68.91,31.47
114344,0.08,0.19,0.98,2.68,294.03,29.02,98977.52,88.31,0.1,0.08,0.98,-1.77,2.07,0,51.06,-44.23,68.91,31.47
115344,0.08,0.19,0.98,2.68,294.16,29.02,98975.99,88.33,0.1,0.08,0.97,-1.4,2.38,-0.12,53.44,-41.84,71.2,31.47
116344,0.08,0.19,0.98,2.68,294.05,29.03,98977.32,88.31,0.1,0.08,0.98,-1.59,2.26,-0.18,51.06,-43.03,68.91,31.47
117344,0.08,0.19,0.98,2.69,293.79,29.03,98980.3,88.33,0.1,0.08,0.97,-1.71,2.44,-0.06,49.88,-39.45,68.91,31.47
118344,0.08,0.19,0.98,2.69,293.89,29.03,98979.17,88.31,0.1,0.08,0.97,-1.46,2.32,0.06,53.44,-44.23,70.05,31.47
119344,0.08,0.19,0.98,2.69,294.29,29.03,98978.41,88.36,0.1,0.08,0.97,-1.65,2.26,0.06,52.25,-46.62,71.2,31.47
120344,0.08,0.19,0.98,2.69,293.96,29.04,98978.3,88.33,0.1,0.08,0.97,-1.16,1.95,-0.24,51.06,-44.23,71.2,31.47
121345,0.08,0.19,0.98,2.69,293.99,29.04,98977.94,88.31,0.1,0.08,0.97,-1.65,2.26,-0.24,52.25,-43.03,70.05,31.47
122344,0.08,0.19,0.98,2.69,293.8,29.04,98980.2,88.29,0.1,0.08,0.97,-1.4,2.01,-0.3,52.25,-44.23,68.91,31.47
123344,0.08,0.19,0.98,2.69,294.04,29.05,98977.42,88.3,0.1,0.08,0.97,-1.52,2.13,-0.18,51.06,-44.23,70.05,31.47
124345,0.08,0.19,0.98,2.69,293.97,29.05,98978.16,88.29,0.09,0.08,0.97,-1.65,2.2,-0.3,49.88,-43.03,68.91,31.47
125344,0.08,0.19,0.98,2.69,293.91,29.05,98978.92,88.33,0.1,0.08,0.97,-1.22,2.07,-0.06,51.06,-44.23,67.76,31.47
126345,0.08,0.19,0.98,2.69,293.92,29.05,98978.85,88.33,0.1,0.08,0.97,-1.59,2.07,-0.18,52.25,-43.03,68.91,31.47
127344,0.08,0.19,0.98,2.69,293.83,29.06,98979.92,88.3,0.1,0.08,0.97,-1.52,2.07,-0.06,52.25,-44.23,73.5,31.47
128345,0.08,0.19,0.98,2.69,293.75,29.06,98980.78,88.3,0.1,0.07,0.97,-1.46,2.07,-0.24,51.06,-45.42,70.05,31.47
129344,0.08,0.19,0.98,2.69,294.05,29.06,98977.61,88.29,0.1,0.08,0.97,-1.59,2.13,-0.18,52.25,-43.03,71.2,31.47
130344,0.08,0.19,0.98,2.69,294.04,29.06,98977.41,88.31,0.1,0.08,0.97,-1.52,2.26,-0.24,51.06,-43.03,71.2,31.47
131345,0.08,0.19,0.98,2.69,293.86,29.07,98979.5,88.33,0.1,0.08,0.96,-1.28,2.13,-0.12,51.06,-44.23,68.91,31.47
132344,0.08,0.19,0.98,2.69,294.01,29.07,98977.7,88.3,0.1,0.08,0.97,-1.46,2.2,-0.24,48.69,-46.62,68.91,31.47
133345,0.08,0.19,0.98,2.69,294.05,29.07,98977.3,88.31,0.1,0.08,0.98,-1.34,2.2,0,51.06,-43.03,68.91,31.47
134345,0.08,0.19,0.98,2.69,293.92,29.08,98978.8,88.3,0.1,0.08,0.96,-1.65,2.26,0.12,51.06,-45.42,68.91,31.47
135345,0.08,0.19,0.98,2.7,293.96,29.08,98978.36,88.33,0.1,0.08,0.97,-1.46,2.38,0,52.25,-43.03,70.05,31.47
136345,0.08,0.19,0.98,2.7,293.85,29.08,98979.61,88.29,0.1,0.08,0.97,-1.71,2.32,0,51.06,-43.03,72.35,31.47
137345,0.08,0.19,0.98,2.7,293.85,29.09,98979.62,88.33,0.1,0.08,0.98,-1.65,2.26,-0.06,51.06,-43.03,70.05,31.47
138345,0.08,0.19,0.98,2.7,293.92,29.09,98978.78,88.31,0.1,0.08,0.97,-1.52,2.26,0.18,53.44,-41.84,70.05,31.47
139345,0.08,0.19,0.99,2.7,293.99,29.09,98977.97,88.3,0.1,0.08,0.96,-1.65,2.56,-0.12,49.88,-41.84,70.05,31.47
140345,0.08,0.19,0.98,2.7,293.95,29.1,98978.5,88.31,0.1,0.08,0.97,-1.16,2.44,-0.18,53.44,-41.84,71.2,31.47
141345,0.08,0.19,0.98,2.7,293.77,29.1,98979.83,88.3,0.11,0.08,0.98,-1.65,2.26,-0.24,49.88,-44.23,70.05,31.47
142345,0.08,0.19,0.98,2.7,293.81,29.1,98980.08,88.27,0.1,0.08,0.97,-1.52,2.07,0,52.25,-43.03,70.05,31.47
143345,0.08,0.19,0.98,2.7,293.85,29.11,98979.64,88.31,0.1,0.08,0.97,-1.34,2.2,-0.12,51.06,-43.03,70.05,31.47
144346,0.08,0.19,0.98,2.7,293.86,29.11,98979.57,88.29,0.1,0.08,0.97,-1.52,2.13,-0.12,52.25,-44.23,70.05,31.47
145345,0.08,0.19,0.98,2.7,293.83,29.11,98979.85,88.33,0.1,0.08,0.98,-1.52,2.32,-0.18,51.06,-45.42,67.76,31.47
146345,0.08,0.19,0.98,2.7,293.69,29.12,98981.5,88.29,0.1,0.08,0.98,-1.65,2.5,-0.24,51.06,-41.84,70.05,31.47
147345,0.08,0.19,0.98,2.7,293.85,29.12,98979.66,88.29,0.1,0.08,0.98,-1.4,2.26,-0.55,52.25,-43.03,68.91,31.47
148345,0.08,0.19,0.98,2.7,293.99,29.12,98978.02,88.3,0.1,0.08,0.97,-1.34,2.2,-0.06,51.06,-45.42,71.2,31.47
149346,0.08,0.19,0.98,2.7,293.77,29.13,98980.64,88.33,0.1,0.08,0.97,-1.52,2.13,-0.18,51.06,-43.03,71.2,31.47
150345,0.08,0.19,0.98,2.7,293.89,29.13,98979.2,88.31,0.1,0.08,0.97,-1.52,2.2,-0.24,51.06,-43.03,67.76,31.47
151346,0.08,0.19,0.98,2.7,293.79,29.13,98980.28,88.27,0.1,0.08,0.97,-1.52,2.07,-0.12,49.88,-44.23,68.91,31.47
152345,0.08,0.19,0.98,2.71,293.89,29.13,98979.16,88.27,0.1,0.08,0.97,-1.59,2.2,-0.3,54.63,-44.23,71.2,31.51
153346,0.08,0.19,0.98,2.71,293.91,29.14,98978.89,88.27,0.1,0.08,0.98,-1.59,2.44,-0.49,51.06,-44.23,68.91,31.47
154345,0.08,0.19,0.98,2.71,293.87,29.14,98979.89,88.31,0.1,0.08,0.97,-1.65,2.07,-0.24,52.25,-43.03,70.05,31.47
155345,0.08,0.19,0.98,2.71,294.03,29.15,98977.53,88.3,0.1,0.08,0.97,-1.65,2.2,0,51.06,-44.23,68.91,31.47
156346,0.08,0.19,0.98,2.71,293.82,29.15,98980.03,88.31,0.1,0.08,0.97,-1.46,2.01,-0.3,52.25,-43.03,68.91,31.47
157345,0.08,0.19,0.98,2.71,293.89,29.15,98979.14,88.3,0.1,0.08,0.97,-1.71,2.13,-0.18,51.06,-40.64,71.2,31.47
158346,0.08,0.19,0.98,2.71,293.88,29.16,98979.32,88.29,0.1,0.08,0.97,-1.22,2.38,-0.06,52.25,-43.03,67.76,31.51
159345,0.08,0.19,0.98,2.71,293.94,29.16,98978.6,88.3,0.1,0.08,0.97,-1.77,2.38,-0.24,51.06,-43.03,67.76,31.47
160346,0.08,0.19,0.98,2.71,294.01,29.17,98977.75,88.3,0.1,0.08,0.98,-1.52,2.26,-0.06,49.88,-41.84,71.2,31.47
161346,0.08,0.19,0.98,2.71,293.9,29.17,98979.08,88.29,0.09,0.08,0.97,-1.52,2.32,-0.12,51.06,-43.03,70.05,31.51
162345,0.08,0.19,0.98,2.71,293.92,29.17,98978.85,88.29,0.1,0.08,0.97,-1.71,2.26,-0.3,54.63,-43.03,70.05,31.47
163346,0.08,0.19,0.98,2.71,294.12,29.18,98976.49,88.27,0.1,0.08,0.97,-1.65,2.38,-0.12,52.25,-41.84,70.05,31.47
164346,0.08,0.19,0.98,2.71,293.96,29.18,98977.82,88.31,0.1,0.08,0.98,-1.65,2.07,-0.06,52.25,-43.03,70.05,31.47
165346,0.08,0.19,0.98,2.71,294.11,29.18,98976.53,88.31,0.1,0.08,0.98,-1.52,2.2,-0.24,51.06,-43.03,68.91,31.47
166346,0.08,0.19,0.98,2.71,293.94,29.19,98978.6,88.27,0.1,0.08,0.98,-1.46,2.2,-0.18,49.88,-44.23,67.76,31.47
167346,0.08,0.19,0.98,2.71,293.87,29.19,98979.39,88.29,0.1,0.08,0.97,-1.59,2.13,-0.12,51.06,-40.64,70.05,31.47
168346,0.08,0.19,0.98,2.71,293.95,29.2,98978.49,88.31,0.1,0.08,0.97,-1.46,2.07,-0.3,52.25,-45.42,70.05,31.47
169346,0.08,0.19,0.98,2.71,294.06,29.2,98977.16,88.3,0.1,0.08,0.98,-1.59,2.32,-0.3,49.88,-41.84,70.05,31.47
170346,0.08,0.19,0.98,2.71,293.87,29.2,98979.42,88.31,0.1,0.08,0.97,-1.59,2.13,-0.12,51.06,-44.23,67.76,31.47
171345,0.08,0.19,0.98,2.71,294,29.21,98977.85,88.29,0.1,0.08,0.97,-1.34,2.2,-0.12,51.06,-43.03,70.05,31.47
172346,0.08,0.19,0.98,2.71,294.15,29.21,98976.05,88.29,0.1,0.08,0.97,-1.65,2.2,-0.12,51.06,-43.03,70.05,31.47
173346,0.08,0.19,0.98,2.71,293.79,29.21,98980.32,88.31,0.1,0.08,0.97,-1.71,2.13,-0.3,51.06,-41.84,70.05,31.47
174347,0.08,0.19,0.98,2.71,293.85,29.22,98979.24,88.29,0.1,0.08,0.97,-1.59,2.5,-0.37,51.06,-45.42,71.2,31.47
175346,0.08,0.19,0.98,2.71,294,29.22,98977.83,88.26,0.1,0.08,0.97,-1.52,2.13,-0.12,52.25,-43.03,70.05,31.47
